Ref_number;States;Municipality ;Study_location;Coordinates ;Conservation_unit;Status_conservation_unit;Phytophysiognomy_type;Plant_species_original;Plant_species_adjusted;Plant_family;Plant_genus;Threat_status;Life_form;Vegetation_type;Plant_distribution;Biogeographical _domain;
Ref_22;MG;Brumadinho;Brumadinho;20°08’34”S, 44°12’00”W;No;NA;Campo rupestre;Calophyllum brasiliense;Calophyllum brasiliense Cambess.;Calophyllaceae;Calophyllum;NA;Tree;Campinarana|Floresta Ciliar ou Galeria|Floresta de Igapé|Floresta de Terra Firme|Floresta de Várzea|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Palmeiral|Restinga;AC|AM|BA|ES|GO|MG|MT|PA|PR|RJ|RR|SC|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_19;GO; Mineiros, Chapadão do Céu;Parque Nacional das Emas;17°49?S-18°28?S, 52°39?W-53°10?W;Yes;Federal;Cerrado, campo sujo, campo limpo;Campomanesia adamantium;Campomanesia adamantium (Cambess.) O.Berg;Myrtaceae;Campomanesia;NA;Shrub;Cerrado (lato sensu);DF|GO|MG|MS|MT|PR|SP;Cerrado|Mata Atlântica;
Ref_27;MS;Aquidauana;Universidade Estadual de Mato Grosso do Sul (UEMS), Distrito de Camisão;"20°27'21.4""S, 55°39'46.1""W; 20°26'58.1""S, 55°38'16.9""W";No;No;Cerrado;Campomanesia pubescens (Mart. ex DC.) O.Berg;Campomanesia pubescens (Mart. ex DC.) O.Berg;Myrtaceae;Campomanesia;LC;Shrub|Tree;Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual;BA|ES|GO|MG|MS|MT|PR|SP|TO;Caatinga|Cerrado|Mata Atlântica;
Ref_22;MG;Tiradentes;Serra de São José;21°00’S, 44°00?W;No;NA;Campo rupestre;Campomanesia pubescens;Campomanesia pubescens (Mart. ex DC.) O.Berg;Myrtaceae;Campomanesia;LC;Shrub|Tree;Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual;BA|ES|GO|MG|MS|MT|PR|SP|TO;Caatinga|Cerrado|Mata Atlântica;
Ref_18;MG;NA;Parque Estadual do Ibitipoca;21°42’S, 43°54’W;Yes;Estadual;Campo rupestre;Campomanesia rufa;Campomanesia rufa (O.Berg) Nied.;Myrtaceae;Campomanesia;LC;Shrub|Tree;Cerrado (lato sensu)|Floresta Estacional Semidecidual;MG;Cerrado|Mata Atlântica;
Ref_10;MG;NA;Parque Estadual do Itacolomi;20°35'S-11°11' S;Yes;Estadual;Campo rupestre;Hyptis carpinifolia;Cantinoa carpinifolia (Benth.) Harley & J.F.B.Pastore;Lamiaceae;Cantinoa;NA;Shrub|Subshrub;Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Palmeiral;BA|DF|GO|MG|MS|MT|PI|RR|SP|TO;Amazônia|Cerrado;
Ref_18;MG;NA;Parque Nacional do Caparaó;20°25’S, 41°48’W;Yes;Estadual;Campo rupestre;Hyptis racemulosa;Cantinoa racemulosa (Mart. ex Benth.) Harley & J.F.B.Pastore;Lamiaceae;Cantinoa;NA;Herb|Subshrub;Campo de Altitude|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial);ES|MG|RJ;Cerrado|Mata Atlântica;
Ref_11;MG;Santana do Riacho;Serra do Cipó;"43°36’23.0’’W, 19º 19’44.6’’S; 43°36’42.3’’W, 19º 18’ 24.1’’S; 43°36’09.3’’W, 19º 20’24.0’’S";No;No;Campo rupestre, cerrado;Capsicum parvifolium;Capsicum parvifolium Sendtn.;Solanaceae;Capsicum;NA;Shrub;Caatinga (stricto sensu)|Vegetação Sobre Afloramentos Rochosos;BA|CE|PB|PE|RN;Caatinga|Mata Atlântica;
Ref_27;MS;Aquidauana;Universidade Estadual de Mato Grosso do Sul (UEMS), Distrito de Camisão;"20°27'21.4""S, 55°39'46.1""W; 20°26'58.1""S, 55°38'16.9""W";No;No;Cerrado;Caryocar brasiliense Cambess.;Caryocar brasiliense Cambess.;Caryocaraceae;Caryocar;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MT|PA|PR|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Caryocar brasiliense Cambess.;Caryocar brasiliense Cambess.;Caryocaraceae;Caryocar;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MT|PA|PR|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Caryocar glabrum (Aubl.) Pers;Caryocar brasiliense Cambess.;Caryocaraceae;Caryocar;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MT|PA|PR|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_16;GO;Caldas Novas;Fragmento de cerrado;17°42’39’’S, 48°38’27’’W;No;No;Cerrado;Caryocar brasiliense;Caryocar brasiliense Cambess.;Caryocaraceae;Caryocar;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MT|PA|PR|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_07;SP;Santa Rita do Passa Quatro;Pé-de-Gigante Cerrado Reserve;"21°35’ S; 47°35’W";Yes;Federal;Cerrado;Caryocar brasiliense;Caryocar brasiliense Cambess.;Caryocaraceae;Caryocar;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MT|PA|PR|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_30;GO;Hidrolândia;Escola Agrícola;"17°01’05”S, 49°11’49”W; 17°00’42”S, 49°12’04”W";No;No;Cerrado, floresta estacional semidecidual;Caryocar brasiliense A. St.?Hil.;Caryocar brasiliense Cambess.;Caryocaraceae;Caryocar;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MT|PA|PR|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_12;GO;Pirenópolis, Corumbá de Goiás, Cocalzinho;Parque Estadual da Serra dos Pireneus;15°48’S, 48°52’W;Yes;Estadual;Cerrado;Caryocar brasiliense;Caryocar brasiliense Cambess.;Caryocaraceae;Caryocar;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MT|PA|PR|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_13;MG;Januária;Área de Proteção Ambiental do Rio Pandeiros;15°29’15”S, 44°21’40”W;Yes;Estadual;Cerrado;Caryocar brasiliense;Caryocar brasiliense Cambess.;Caryocaraceae;Caryocar;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MT|PA|PR|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_19;GO; Mineiros, Chapadão do Céu;Parque Nacional das Emas;17°49?S-18°28?S, 52°39?W-53°10?W;Yes;Federal;Cerrado, campo sujo, campo limpo;Caryocar brasiliense;Caryocar brasiliense Cambess.;Caryocaraceae;Caryocar;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MT|PA|PR|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_05;MG;Delfinópolis;Represa de Peixoto;20°15’S, 20°30’S, 46°45’W-47°00’W;No;No;Cerrado;Caryocar brasiliense;Caryocar brasiliense Cambess.;Caryocaraceae;Caryocar;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MT|PA|PR|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_11;MG;Santana do Riacho;Serra do Cipó;"43°36’23.0’’W, 19º 19’44.6’’S; 43°36’42.3’’W, 19º 18’ 24.1’’S; 43°36’09.3’’W, 19º 20’24.0’’S";No;No;Campo rupestre, cerrado;Casearia rupestris;Casearia rupestris Eichler;Salicaceae;Casearia;NA;Tree;Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);DF|GO|MG|MS|MT|SP|TO;Cerrado;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Casearia sylvestris Sw.;Casearia sylvestris Sw.;Salicaceae;Casearia;NA;Shrub|Tree|Subshrub;Caatinga (stricto sensu)|Campinarana|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga;AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|RS|SC|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal;
Ref_13;MG;Januária;Área de Proteção Ambiental do Rio Pandeiros;15°29’15”S, 44°21’40”W;Yes;Estadual;Cerrado, mata seca;Casearia sylvestris;Casearia sylvestris Sw.;Salicaceae;Casearia;NA;Shrub|Tree|Subshrub;Caatinga (stricto sensu)|Campinarana|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga;AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|RS|SC|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal;
Ref_19;GO; Mineiros, Chapadão do Céu;Parque Nacional das Emas;17°49?S-18°28?S, 52°39?W-53°10?W;Yes;Federal;Cerrado, campo sujo, campo limpo;Casearia sylvestris;Casearia sylvestris Sw.;Salicaceae;Casearia;NA;Shrub|Tree|Subshrub;Caatinga (stricto sensu)|Campinarana|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga;AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|RS|SC|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal;
Ref_26;GO;Silvânia;Floresta Nacional de Silvânia;"16°38’11,79”S, 48°39’50,82”W; 16°37’52,90”S, 48°39’52,38”W";Yes;Federal;Cerrado, mata de galeria;Casearia sylvestris;Casearia sylvestris Sw.;Salicaceae;Casearia;NA;Shrub|Tree|Subshrub;Caatinga (stricto sensu)|Campinarana|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga;AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|RS|SC|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal;
Ref_03;MG;Cristália;Soberbo;42°40'W, 17°08'S;No;NA;Campo rupestre;Cassia chamaechrista;Cassia chamaecrista L.;Fabaceae;Cassia;NA;NA;NA;NA;NA;
Ref_11;MG;Santana do Riacho;Serra do Cipó;"43°36’23.0’’W, 19º 19’44.6’’S; 43°36’42.3’’W, 19º 18’ 24.1’’S; 43°36’09.3’’W, 19º 20’24.0’’S";No;No;Campo rupestre, cerrado;Celtis brasiliensis;Celtis brasiliensis (Gardner) Planch.;Cannabaceae;Celtis;NA;NA;NA;AL|BA|CE|DF|ES|GO|MG|MS|MT|PR|RJ|SC|SP;Caatinga|Cerrado|Mata Atlântica;
Ref_03;MG;Cristália;Soberbo;42°40'W, 17°08'S;No;NA;Campo rupestre;Celtis brasiliensis;Celtis brasiliensis (Gardner) Planch.;Cannabaceae;Celtis;NA;NA;NA;AL|BA|CE|DF|ES|GO|MG|MS|MT|PR|RJ|SC|SP;Caatinga|Cerrado|Mata Atlântica;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Celtis iguanaea (Jacq.) Sarg.;Celtis iguanaea (Jacq.) Sarg.;Cannabaceae;Celtis;NA;Shrub|Tree;Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|RS|SC|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal;
Ref_11;MG;Santana do Riacho;Serra do Cipó;"43°36’23.0’’W, 19º 19’44.6’’S; 43°36’42.3’’W, 19º 18’ 24.1’’S; 43°36’09.3’’W, 19º 20’24.0’’S";No;No;Campo rupestre, cerrado;Celtis iguanaea;Celtis iguanaea (Jacq.) Sarg.;Cannabaceae;Celtis;NA;Shrub|Tree;Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|RS|SC|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal;
Ref_31;BA;Caetité;Trilha Jacaraci;14°05’18”S, 42°29’56”W;No;No;Mata de galeria;Celtis iguanaea (Jacq.) Sarg;Celtis iguanaea (Jacq.) Sarg.;Cannabaceae;Celtis;NA;Shrub|Tree;Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|RS|SC|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal;
Ref_09;GO;Goiânia;Campus Samambaia da Universidade Federal de Goiás;NA;No;No;Mata mesófila semidecídua;Celtis iguanea;Celtis iguanaea (Jacq.) Sarg.;Cannabaceae;Celtis;NA;Shrub|Tree;Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|RS|SC|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal;
Ref_24;GO;Goiânia;Câmpus Samambaia da Universidade Federal de Goiás;16°36’S, 49°16’W;No;No;Mata semicaducifólia;Celtis iguanaea (Jacq.) Sarg.;Celtis iguanaea (Jacq.) Sarg.;Cannabaceae;Celtis;NA;Shrub|Tree;Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|RS|SC|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal;
Ref_22;MG;Tiradentes;Serra de São José;21°00’S, 44°00?W;No;NA;Campo rupestre;Celtis glycycarpa;Celtis iguanaea (Jacq.) Sarg.;Cannabaceae;Celtis;NA;Shrub|Tree;Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|RS|SC|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal;
Ref_03;MG;Cristália;Soberbo;42°40'W, 17°08'S;No;NA;Campo rupestre;Cassia apoucouita;Chamaecrista apoucouita (Aubl.) H.S.Irwin & Barneby;Fabaceae;Chamaecrista;NA;Tree;Floresta Ciliar ou Galeria|Floresta de Terra Firme;AM;Amazônia;
Ref_10;MG;NA;Parque Estadual de Biribiri;20°35'S-11°11' S;Yes;Estadual;Campo rupestre;Chamaecrista catharticoides;Chamaecrista catharticoides (H.S.Irwin & Barneby) H.S.Irwin & Barneby;Fabaceae;Chamaecrista;NA;Shrub|Subshrub;Campo de Altitude;MG;Mata Atlântica;
Ref_10;MG;NA;Parque Estadual de Grão Mogol;20°35'S-11°11' S;Yes;Estadual;Campo rupestre;Chamaecrista chrsysocephala;Chamaecrista chrysosepala (H.S.Irwin & Barneby) H.S.Irwin & Barneby;Fabaceae;Chamaecrista;NA;Shrub;Campo rupestre|Floresta Ciliar ou Galeria;GO|MG;Cerrado;
Ref_10;MG;NA;RPPN Serra do Caraça;20°35'S-11°11' S;Yes;RPPN;Campo rupestre;Chamaecrista cinerascens;Chamaecrista cinerascens (Vogel) H.S.Irwin & Barneby;Fabaceae;Chamaecrista;NA;Shrub;Campo rupestre|Floresta Ciliar ou Galeria;MG;Cerrado;
Ref_10;MG;NA;Parque Estadual do Rio Preto;20°35'S-11°11' S;Yes;Estadual;Campo rupestre, cerrado;Chamaecrista cotinifolia;Chamaecrista cotinifolia (G.Don) H.S.Irwin & Barneby;Fabaceae;Chamaecrista;NA;NA;NA;NA;Cerrado;
Ref_10;MG;NA;Parque Estadual do Rio Preto;20°35'S-11°11' S;Yes;Estadual;Campo rupestre, cerrado;Chamaecrista filicifolia;Chamaecrista filicifolia (Benth.) H.S.Irwin & Barneby;Fabaceae;Chamaecrista;NA;Shrub|Subshrub;Campo rupestre|Cerrado (lato sensu);BA|DF|GO|MA|MG|MT;Caatinga|Cerrado;
Ref_17;MG;NA;Parque Estadual da Serra do Cabral;17°03’S-18° 13’S, 44°05’W-44°52’W;Yes;Estadual;Campo rupestre, campo cerrado, campo sujo;Chamaecrista geminata;Chamaecrista geminata (Benth.) H.S.Irwin & Barneby;Fabaceae;Chamaecrista;NA;Shrub|Subshrub;Campo rupestre|Cerrado (lato sensu);GO|MG;Cerrado;
Ref_10;MG;NA;Parque Estadual do Rio Preto;20°35'S-11°11' S;Yes;Estadual;Campo rupestre, cerrado;Chamaecrista ramosa;Chamaecrista ramosa (Vogel) H.S.Irwin & Barneby;Fabaceae;Chamaecrista;NA;NA;NA;NA;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal;
Ref_10;MG;NA;Parque Estadual do Rio Preto;20°35'S-11°11' S;Yes;Estadual;Campo rupestre, cerrado;Chamaecrista repens;Chamaecrista repens (Vogel) H.S.Irwin & Barneby;Fabaceae;Chamaecrista;NA;Subshrub;Área Antrópica|Caatinga (stricto sensu)|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Vegetação Sobre Afloramentos Rochosos;AL|BA|CE|ES|GO|MG|MS|MT|PB|PE|PI|PR|RJ|RS|SC|SE|TO;Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Cheiloclinium cognatum ;Cheiloclinium cognatum (Miers) A.C.Sm.;Celastraceae;Cheiloclinium;NA;Shrub|Tree|Liana/volúvel/trepadeira;Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);AC|AL|AM|AP|BA|DF|ES|GO|MA|MG|MS|MT|PA|PE|PI|RJ|RO|RR|SP|TO;Amazônia|Cerrado|Mata Atlântica|Pantanal;
Ref_05;MG;Delfinópolis;Represa de Peixoto;20°15’S, 20°30’S, 46°45’W-47°00’W;No;No;Cerrado;Chomelia pohliana;Chomelia pohliana Müll.Arg.;Rubiaceae;Chomelia;NA;Shrub|Tree;Cerrado (lato sensu);BA|DF|GO|MA|MG|MS|MT|SP;Cerrado;
Ref_10;MG;NA;Parque Estadual de Biribiri;20°35'S-11°11' S;Yes;Estadual;Campo rupestre;Chromolaena horminoides;Chromolaena horminoides DC.;Asteraceae;Chromolaena;NA;Subshrub;Campo rupestre|Cerrado (lato sensu);BA|DF|ES|GO|MG|MS|MT|SP;Caatinga|Cerrado|Mata Atlântica;
Ref_10;MG;NA;Parque Estadual do Rio Preto;20°35'S-11°11' S;Yes;Estadual;Campo rupestre, cerrado;Chromolaena multiflosculosa;Chromolaena multiflosculosa (DC.) R.M. King & H. Rob.;Asteraceae;Chromolaena;NA;Subshrub;Campo rupestre|Cerrado (lato sensu);GO|MG|MT;NA;
Ref_03;MG;Curral Velho;NA;NA;No;NA;NA;Eupatorium squalidum;Chromolaena squalida (DC.) R.M.King & H.Rob.;Asteraceae;Chromolaena;NA;Shrub;Área Antrópica|Cerrado (lato sensu)|Floresta Estacional Semidecidual;BA|DF|ES|GO|MG|MS|MT|PA|PR|RJ|RO|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Chrysophylum marginatum (Hook. and Arn.) Radlk.;Chrysophyllum marginatum (Hook. & Arn.) Radlk.;Sapotaceae;Chrysophyllum;NA;Shrub|Tree;Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria;BA|DF|GO|MG|MS|MT|PR|RJ|RS|SC|SP;Cerrado|Mata Atlântica;
Ref_24;GO;Goiânia;Câmpus Samambaia da Universidade Federal de Goiás;16°36’S, 49°16’W;No;No;Mata semicaducifólia;Chrysophyllum marginatum (Hook. & Arn.) Radlk.;Chrysophyllum marginatum (Hook. & Arn.) Radlk.;Sapotaceae;Chrysophyllum;NA;Shrub|Tree;Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria;BA|DF|GO|MG|MS|MT|PR|RJ|RS|SC|SP;Cerrado|Mata Atlântica;
Ref_18;MG;NA;Parque Nacional do Caparaó;20°25’S, 41°48’W;Yes;Estadual;Campo rupestre;Chusquea pinifolia;Chusquea pinifolia (Nees) Nees;Poaceae;Chusquea;LC;Shrub;Campo de Altitude|Campo rupestre|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial);MG|RJ|SP;Cerrado|Mata Atlântica;
Ref_27;MS;Aquidauana;Universidade Estadual de Mato Grosso do Sul (UEMS), Distrito de Camisão;"20°27'21.4""S, 55°39'46.1""W; 20°26'58.1""S, 55°38'16.9""W";No;No;Cerrado;Cissampelos pareira;Cissampelos pareira L.;Menispermaceae;Cissampelos;LC;Liana/volúvel/trepadeira;Área Antrópica|Caatinga (stricto sensu)|Campinarana|Campo de Várzea|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Igapé|Floresta de Terra Firme|Floresta de Várzea|Floresta Estacional Decidual|Floresta Estacional Perenifólia|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Savana Amazônica;AC|AM|BA|DF|GO|MA|MG|MS|MT|PA|PE|PI|PR|RO|RR|RS|SC|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal;
Ref_30;GO;Hidrolândia;Escola Agrícola;17°01’05”S, 49°11’49”W;No;No;Cerrado;Cissus erosa;Cissus erosa Rich.;Vitaceae;Cissus;NA;Liana/volúvel/trepadeira;Área Antrópica|Campinarana|Campo de Várzea|Campo Limpo|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Igapé|Floresta de Terra Firme|Floresta de Várzea|Floresta Estacional Decidual|Floresta Estacional Perenifólia|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Palmeiral|Restinga|Savana Amazônica|Vegetação Sobre Afloramentos Rochosos;AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_10;MG;NA;RPPN Serra do Caraça;20°35'S-11°11' S;Yes;RPPN;Campo rupestre;Coccoloba acrostichoides;Coccoloba acrostichoides Cham.;Polygonaceae;Coccoloba;NA;Shrub;Campo rupestre|Floresta Ciliar ou Galeria;MG;Cerrado;
Ref_17;MG;NA;Parque Estadual da Serra do Cabral;17°03’S-18° 13’S, 44°05’W-44°52’W;Yes;Estadual;Campo rupestre, campo cerrado, campo sujo;Cochlospermum regium;Cochlospermum regium (Mart. ex Schrank) Pilg.;Bixaceae;Cochlospermum;LC;Shrub|Subshrub;Caatinga (stricto sensu)|Campo Limpo|Cerrado (lato sensu)|Savana Amazônica;AL|AM|BA|CE|DF|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RN|RO|SE|SP|TO;Amazônia|Caatinga|Cerrado|Pantanal;
Ref_21;BA;Caetité;APP da nascente do riacho Jatobá;14°04'36,8''S, 42°29'59,7''W;No;No;Transição cerrado-caatinga;Combretum leprosum Mart.;Combretum leprosum Mart.;Combretaceae;Combretum;NA;Shrub|Tree|Liana/volúvel/trepadeira;Caatinga (stricto sensu)|Carrasco|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual;BA|CE|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|RN|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_25;BA;Caetité;Serra Geral;14°04’S, 42°29’W;No;No;Cerrado;Combretum leprosum ;Combretum leprosum Mart.;Combretaceae;Combretum;NA;Shrub|Tree|Liana/volúvel/trepadeira;Caatinga (stricto sensu)|Carrasco|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual;BA|CE|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|RN|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_32;BA;Caetité;Brejinho das Ametistas;"14°15’46”S; 42°31’28”W";No;No;Cerrado;Combretum leprosum ;Combretum leprosum Mart.;Combretaceae;Combretum;NA;Shrub|Tree|Liana/volúvel/trepadeira;Caatinga (stricto sensu)|Carrasco|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual;BA|CE|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|RN|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_31;BA;Caetité;Trilha Jacaraci;14°05’18”S, 42°29’56”W;No;No;Cerrado;Combretum leprosum;Combretum leprosum Mart.;Combretaceae;Combretum;NA;Shrub|Tree|Liana/volúvel/trepadeira;Caatinga (stricto sensu)|Carrasco|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual;BA|CE|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|RN|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_15;SP;Luiz Antônio;Ecological Station of Jataí;"21°36’19.44”S, 47°47’28.86”W; 21°36’14.10”S, 47°46’34.44”W; 21°36’2.81”S, 47°45’38.32”W; 21°35’33.27”S, 47°45’40.86”W; 21°37’48.48”S, 47°42’33.15”W";Yes;Estadual;Cerradão, cerrado;Connarus suberosus Planch.;Connarus suberosus Planch.;Connaraceae;Connarus;NA;NA;NA;BA|DF|GO|MA|MG|MS|MT|PA|PI|SP|TO;Cerrado|Pantanal;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Connarus suberosus Planch.;Connarus suberosus Planch.;Connaraceae;Connarus;NA;NA;NA;BA|DF|GO|MA|MG|MS|MT|PA|PI|SP|TO;Cerrado|Pantanal;
Ref_16;GO;Caldas Novas;Fragmento de cerrado;17°42’39’’S, 48°38’27’’W;No;No;Cerrado;Connarus suberosus;Connarus suberosus Planch.;Connaraceae;Connarus;NA;NA;NA;BA|DF|GO|MA|MG|MS|MT|PA|PI|SP|TO;Cerrado|Pantanal;
